Song,Artist,Streams (Billions),Release Date,id,duration,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,danceability
Take Me to Church,Hozier,1.984,13-Sep-13,1CS7Sd1u5tWkstBhpssyjP,4.03,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,0.566
All of Me,John Legend,1.973,12-Aug-13,3U4isOIWM3VvDubwSI3y7a,4.49,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,0.422
Thunder,Imagine Dragons,1.926,27-Apr-17,57bgtoPSgt236HzfBOd8kj,4.88,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,0.502
7 Rings,Ariana Grande,1.924,18-Jan-19,6ocbgoVGwYJhOv1GgI9NsF,2.98,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,0.778
Goosebumps,Travis Scott featuring Kendrick Lamar,1.911,02-Sep-16,6gBFPUFcJLzWGx4lenP6h2,4.06,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,0.841
Jocelyn Flores,XXXTentacion,1.905,31-Oct-17,7m9OqQk4RVRkw9JJdeAw96,1.99,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,0.872
Havana,Camila Cabello featuring Young Thug,1.861,03-Aug-17,1rfofaqEpACxVEHIZBJe6W,3.62,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,0.765
Stressed Out,Twenty One Pilots,1.86,28-Apr-15,3CRDbSIZ4r5MsZ0YwxuEkn,3.37,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,0.734
XO Tour Llif3,Lil Uzi Vert,1.847,24-Mar-17,7GX5flRQZVHRAGd6B4TmDO,3.05,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,0.732
Counting Stars,OneRepublic,1.843,25-Mar-13,6sy3LkhNFjJWlaeSMNwQ62,4.3,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017,0.664
New Rules,Dua Lipa,1.825,02-Jun-17,67WK7JasAfTIDXs8ofPqx1,3.49,0.7,9,-6.021,0,0.0694,0.00265,1.55e-05,0.153,0.608,116.078,0.762
Wake Me Up,Avicii,1.824,17-Jun-13,0nrRP2bk19rLc0orkWPQk2,4.12,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,0.532
Riptide,Vance Joy,1.819,21-May-13,3JvrhDOgAt6p7K8mDyZwRd,3.4,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,0.484
Happier,Marshmello and Bastille,1.817,17-Aug-18,0O6u0VJ46W86TxN9wgyqDj,3.21,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,0.733
Humble,Kendrick Lamar,1.812,30-Mar-17,7KXjTSCq5nL1LoYtL7XAwS,2.95,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,0.908
Let Her Go,Passenger,1.811,24-Jul-12,1KxwZYyzWNyZSRyErj2ojT,4.21,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.243,74.897,0.479
The Hills,The Weeknd,1.802,27-May-15,7fBv7CLKzipRk6EC6TWHOB,4.04,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,0.585
Sicko Mode,Travis Scott featuring Drake,1.794,03-Aug-18,2xLMifQCjDGFmkHkpNLD9h,5.21,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,0.834
Can't Hold Us,Macklemore & Ryan Lewis featuring Ray Dalton,1.778,16-Aug-11,7GRu6XaTVRIdV4E0Ty4QGX,1.52,0.871,10,-6.351,1,0.0752,0.000744,0.00498,0.253,0.219,128.044,0.556
Good 4 U,Olivia Rodrigo,1.763,14-May-21,4ZtFanR9U6ndgddUvNcjcG,2.97,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,0.563
Sorry,Justin Bieber,1.76,22-Oct-15,4VHkjPgAis9JNfc1URn7zZ,3.1,0.643,6,-7.811,0,0.0984,8.47e-05,0.0,0.203,0.492,141.961,0.73
One Kiss,Calvin Harris and Dua Lipa,1.755,06-Apr-18,7ef4DlsgrMEH11cDZd32M6,3.58,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,0.791
Let Me Love You,DJ Snake featuring Justin Bieber,1.747,05-Aug-16,0lYBSQXN6rCTvUZvg9S0lU,3.43,0.716,8,-5.371,1,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,0.649
Drivers License,Olivia Rodrigo,1.734,08-Jan-21,5wANPM4fQCJwkGd4rN57mH,4.03,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,0.561
Lean On,Major Lazer and DJ Snake featuring MØ,1.728,02-Mar-15,1Lim1Py7xBgbAkAys3AGAG,2.94,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,0.723
Treat You Better,Shawn Mendes,1.725,03-Jun-16,3QGsuHI8jO1Rx4JWLUh9jd,3.13,0.819,10,-4.078,0,0.341,0.106,0.0,0.107,0.747,82.695,0.444
Roses (Imanbek remix),Saint Jhn with Imanbek,1.723,18-Sep-19,0zLCBJZSiELJf02ucPP9wb,2.95,0.719,8,-5.472,1,0.0474,0.0143,0.00777,0.359,0.863,121.955,0.769
Better Now,Post Malone,1.71,27-Apr-18,7dt6x5M1jzdTEt8oCbisTK,3.85,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,0.68
Stay with Me,Sam Smith,1.709,14-Apr-14,5Nm9ERjJZ5oyfXZTECKmRt,2.88,0.42,0,-6.444,1,0.0414,0.588,6.39e-05,0.11,0.184,84.094,0.418
Congratulations,Post Malone featuring Quavo,1.703,04-Nov-16,3a1lNhkSLSkpJE4MSHpDu9,3.67,0.804,6,-4.183,1,0.0363,0.215,0.0,0.253,0.492,123.146,0.63
Faded,Alan Walker,1.699,03-Dec-15,698ItKASDavgwZ3WjaWjtz,3.54,0.627,6,-5.085,1,0.0476,0.0281,7.97e-06,0.11,0.159,179.642,0.468
Without Me,Halsey,1.692,04-Oct-18,7lQ8MOhq6IN2w8EYcFNSUk,4.84,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,0.908
Industry Baby,Lil Nas X featuring Jack Harlow,1.691,23-Jul-21,27NovPIUIRrOZoCHxABJwK,3.53,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,0.736
Lose Yourself,Eminem,1.68,28-Oct-02,5Z01UMMf7V1o0MzF86s6WJ,5.44,0.744,2,-4.565,1,0.257,0.00868,0.000423,0.359,0.0612,171.374,0.692
Memories,Maroon 5,1.68,20-Sep-19,5UXJzLFdBn6u9FJTCnoHrH,4.15,0.684,11,-6.306,1,0.044,0.00979,0.0,0.348,0.556,112.969,0.34
Demons,Imagine Dragons,1.679,04-Sep-12,3LlAyCYU26dvFZBDUIMb7a,2.92,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938,0.505
Mr. Brightside,The Killers,1.677,07-Jun-04,003vvx7Niy0yvhvHt4a68B,3.72,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,0.352
Uptown Funk,Mark Ronson featuring Bruno Mars,1.673,10-Nov-14,32OlwWuMpZ6b0aN2RZOeMS,4.49,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,0.856
Too Good at Goodbyes,Sam Smith,1.673,08-Sep-17,3VlbOrM6nYPprVvzBZllE5,3.35,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873,0.681
Levitating,Dua Lipa featuring DaBaby,1.666,01-Oct-20,5nujrmhLynf4yMoMtj8AQF,3.38,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,0.702
I Took a Pill in Ibiza (Seeb Remix),Mike Posner and Seeb,1.666,14-Apr-15,1MtUq6Wp1eQ8PC6BbPCj8P,3.3,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,0.664
Don't Let Me Down,The Chainsmokers featuring Daya,1.664,05-Feb-16,40XeGNGFchGYw7y0ue1GiG,3.49,0.502,4,-7.539,1,0.0493,0.699,0.000156,0.094,0.674,163.347,0.455
"Thank U, Next",Ariana Grande,1.652,03-Nov-18,3e9HZxeyfWwjeyPAMmWSSQ,3.46,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,0.717
I Don't Care,Ed Sheeran and Justin Bieber,1.647,10-May-19,3An0Mae1vtOmLpQtqD4ynf,3.67,0.676,6,-5.041,1,0.0442,0.0902,0.0,0.0894,0.843,101.956,0.798
Dakiti,Bad Bunny and Jhay Cortez,1.647,30-Oct-20,47EiUVwUp4C9fGccaPuUCS,3.42,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,0.731
Montero (Call Me by Your Name),Lil Nas X,1.642,26-Mar-21,1SC5rEoYDGUK4NfG82494W,2.3,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,0.593
Mood,24kGoldn and Iann Dior,1.628,24-Jul-20,0yUaLqhsVsguBpoOPL4cO7,2.16,0.74,0,-6.595,1,0.336,0.696,6.81e-06,0.23,0.532,141.059,0.768
Do I Wanna Know?,Arctic Monkeys,1.627,19-Jun-13,5FVd6KXrgO9B3JPmC8OPst,4.54,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,0.548
Unforgettable,French Montana featuring Swae Lee,1.616,07-Apr-17,3B54sVLJ402zGa6Xm4YGNe,3.9,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,0.726
Dynamite,BTS,1.606,21-Aug-20,2CEgGE6aESpnmtfiZwYlbV,3.38,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975,0.751
Despacito (remix),Luis Fonsi and Daddy Yankee featuring Justin Bieber,1.601,17-Apr-17,6rPO02ozF3bM7NnOV4h6s2,3.81,0.816,2,-4.353,1,0.167,0.228,0.0,0.0967,0.816,178.085,0.653
Moonlight,XXXTentacion,1.6,16-Mar-18,0JP9xo3adEtGSdUEISiszL,2.25,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,0.921
Wonderwall,Oasis,1.593,30-Oct-95,7ygpwy2qP3NbrxVkHvUhXY,4.31,0.893,2,-4.097,1,0.0406,0.000509,0.0,0.187,0.434,174.323,0.375
No Role Modelz,J. Cole,1.592,04-Aug-14,68Dni7IE4VyPkTOH9mRWHr,4.88,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,0.69
That's What I Like,Bruno Mars,1.587,18-Nov-16,0KKkJNfGyhkQ5aFogxQAPU,3.44,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,0.853
The Box,Roddy Ricch,1.586,06-Dec-19,0nbXyq5TXYPCO7pr3N8S4I,3.28,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,0.896
'Till I Collapse,Eminem featuring Nate Dogg,1.579,26-May-02,4xkOaSrkexMciUUogZKVTS,4.96,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447,0.548
There's Nothing Holdin' Me Back,Shawn Mendes,1.579,20-Apr-17,7JJmb5XwzOO8jgpou264Ml,3.32,0.813,11,-4.063,0,0.0554,0.38,0.0,0.0779,0.969,121.998,0.866
Stitches,Shawn Mendes,1.559,14-Apr-15,5jsw9uXEGuKyJzs0boZ1bT,3.45,0.754,1,-6.684,1,0.0615,0.0151,0.0,0.0486,0.755,149.789,0.752
Cheap Thrills,Sia,1.555,29-Jan-16,3S4px9f4lceWdKf0gWciFu,3.53,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,0.628
Smells Like Teen Spirit,Nirvana,1.553,10-Sep-91,5ghIJDpPoe3CfHMGu71E6T,5.03,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,0.502
See You Again,Wiz Khalifa featuring Charlie Puth,1.54,10-Mar-15,7KA4W4McWYRpgf0fWsJZWB,3.01,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,0.558
I'm Yours,Jason Mraz,1.533,12-Feb-08,52ZAsLhFwhCZsExUpSdG5H,2.93,0.633,1,-6.726,1,0.0711,0.0886,0.0,0.116,0.505,94.875,0.646
I Like Me Better,Lauv,1.53,19-May-17,0EcQcdcbQeVJn9fknj44Be,3.29,0.505,9,-7.621,1,0.255,0.534,2.58e-06,0.104,0.419,91.972,0.753
7 Years,Lukas Graham,1.529,16-Jun-15,5kqIPrATaCc2LqxVWzQGbk,3.96,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,0.765
Yellow,Coldplay,1.527,26-Jun-00,3AJwUDP919kvQ9QcozQPxg,4.45,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,0.429
Sugar,Maroon 5,1.524,29-Aug-14,6UelLqGlWMcVH1E5c4H7lY,2.9,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,0.548
Despacito,Luis Fonsi featuring Daddy Yankee,1.522,12-Jan-17,6habFhsOp2NvshLv26DqMb,3.82,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928,0.655
Don't Stop Me Now,Queen,1.521,26-Jan-79,6XdYD0hrNIOHb0emKC3l9U,7.05,0.553,5,-5.51,1,0.0773,0.71,0.0,0.101,0.419,112.603,0.471
